path	bytes	sha256
workbench/old/0001-dd-24-bind-type-enforcement.md	17632	6cc61c031d45e0bb23e562dd4b0e4ea863c3a62dd2c57c7aaae5b56dc23dcec4
workbench/old/0052-dd-54-template-macro-redesign-icu-messageformat-i18n-foundation.md	27047	a088f245c767b375bc53a0a6a447c1fd77d1d8bb0542dc5abcf722a25389882c
workbench/old/2026-04-25-verification-pass.md	18296	5da0e08b0996aa80295b55aeabab42758649f0aeb2f33869eabcb005ed64d0a2
workbench/old/2026-04-29-M1-closing-report.md	7670	0a43b43a88dcfc5f13588fcddb57204c85905f227ba3f5f72378979094b7bf8f
workbench/old/2026-04-29-M2-closing-report.md	8894	0b8b9fa1f2c777179ec9eb6715e0c4ccbd3d7739676dc402c221fe53864b6f6d
workbench/old/2026-04-29-M3-5-closing-report.md	11284	ea34f957764b84a800b45f530495db8641227636340dd2259dc1176da306b44c
workbench/old/2026-04-29-M3-closing-report.md	8135	ee5e234386ea4805b4da1f1088ce7fc0d2160f32965e963aa8f29eeb99e79fe0
workbench/old/2026-04-29-M5-closing-report.md	8530	06c8c2adc6327eca640284d4a34b22f45858467e534532c5f27a3df6f8533763
workbench/old/2026-04-30-M9-closing-report.md	8764	eefd9273dbd937b51f0aedd4b83699ae52f8457b1ab333fa68c6dc5d4ccd680e
workbench/old/2026-05-05-DD-49-iteration-2-closing-report.md	5122	042534c69b2dae92890b0c91b98db08fce2d0e86009bc9b08a5d57eda6b10f3f
workbench/old/2026-05-09-DD-50-iteration-2-closing-report.md	8487	8d599bfc333de73cabb52bd09741bf97ba5c8d5a195a39219d3adf714482098a
workbench/old/2026-05-10-DD-50.5-addendum-closing-report.md	12308	d0e75ca5150e387e7766eabcdaa69f6e8bfc0e4cd4ebcf43f24d1777a2cb24b3
workbench/old/2026-05-10-DD-50.5-closing-report.md	4834	ac0a4f60caf82de077bbcaed0f560be1d305a3c963828ec803ead94111149dc1
workbench/old/2026-05-10-DD-50.6-closing-report.md	9598	b0810b7878e22fe63af6ed57a2860c46646fced802f5c7e41ad853d122ddc5dc
workbench/old/2026-05-10-DD-51-implementation-closing-report.md	8303	eaf58eeb4c6574c36a75ecabd8b5400b4c1ead19ce272941d76b425708488240
workbench/old/2026-05-12-DD-50.7-closing-report.md	11369	6f92a28a09c4a27125d512ed5ff40a8719f46805ced8344778d12280874932b4
workbench/old/2026-05-12-DD-52-closing-report.md	7251	3743dc14fc1af8a59595880252714c47eae3bb9a2e87cdbfec1341143011edcf
workbench/old/2026-05-12-DD-53-closing-report.md	6832	7a090908630c41dae0e122fc63d66c6c78fbb3a48b2e7b26f0d6f1e3f49fff4e
workbench/old/2026-05-13-DD-53-round-2-closing-report.md	6992	197857e1c818b20a2f9a6aa866a8e72ac7dcaf6aacdae7c4f1e27fd7ecf43e5f
workbench/old/2026-05-13-DD-53-round-3-closing-report.md	6284	50ad21c3f3b205419b85ba1e6ed95bbce436624b3e7b85abfffcc5cfe9a95e4f
workbench/old/2026-05-13-DD-54-closing-report.md	5343	89a81514cf3f74dae931ea113f5919ccbde75b07fccee523fdcc6089258b2c07
workbench/old/CC-prompt-create-gh-tickets-2026-05-10.md	12010	5de38d2b12e9d3f4584151a9b8a3aa0536fc90d7a2c61d5ac87aaa64c49ec3c6
workbench/old/CC-prompt-guide-drift-session-A-2026-05-10.md	11939	85a203d6f86f3014aa5845cc9ff4cd5bee952eb359b7090c90291915ca7ad59e
workbench/old/CC-prompt-guide-drift-session-B-2026-05-10.md	7932	23d917417002e27f637fc9dea4cc296d95d62b7ee7323fecfeb9fdfdc8075309
workbench/old/CC-prompt-guide-drift-session-C-2026-05-10.md	14117	e8f517b3ee9ff532431b5900cafb1d18bcb41dba8357d3808b61931f31e9af01
workbench/old/DD-10-quasiquote.md	13175	c0f5efca90e0df222d97c2b47211a55bf3a2a08a1df586ea6f88e02c6e423080
workbench/old/DD-11-macro-definition-hygiene.md	22115	f7759910cacb48edccd7ae9b32c6f93afc9e0056649494be7f10f488662c8f1b
workbench/old/DD-12-reader-dispatch-data-literals.md	24021	9a1ff1701bfe0088cfa63e82e0d23682b8be8e37ff955dbed7aed89178846a7c
workbench/old/DD-13-macro-expansion-pipeline.md	18886	6a05ab65823fa95f1aef8261e5d9aa8702d843c0f79dc993a06cc1aba2d1ecb7
workbench/old/DD-14-macro-modules-esm.md	15057	6314d38fbb0e24b0ad057cd52016112bf58ea2772d0524f46187b002cbb4a703
workbench/old/DD-15-surface-lang-foundation.md	33950	22aa51d719efb143f3e6a5e6546733cafea0881f5bbb50aef8f9044f2bfc6f20
workbench/old/DD-16-func.md	30712	a9ff58e3f15c925fc571a043238bde16fedccdb3b6d21dff7410d175b2fc1841
workbench/old/DD-17-type-match.md	30338	caa7cb04ca57616bba0267775c664f55322d903a9580be5a39543f76401d7d45
workbench/old/DD-18-threading.md	19384	535b726d24392fdadea1f910cfadd04066cc5d084ed539a6cfd1df00ab1fe5e9
